X,Y,OBJECTID,SNO,NAME,ALTERNATE_NAME,COMMUNITY,TYPE,RANKING,CLUSTER_AREA,HEIGHT_IN_M,WIDTH_IN_M,OWNERSHIP,ACCESS_FROM
587621,4794803,1,144,Wesley Cascade,,Dundas,Cascade,C,Borer's,4,1,public-I,Patterson Rd.
586016,4788500,3,80,West Iroquoia Falls,,Hamilton,Waterfall,B,Chedoke-Scenic,19.8,1,public,Hwy 403
585747,4792450,4,146,West Moss Cascade,,Flamborough,Cascade,C,Sydenham,3,1,public-I,Rock Chapel Rd. / Rock Chapel Sanctuary
609936,4783449,6,93,West of Fifty Upper Cascade,,Stoney Creek,Cascade,C,Stoney Creek-Winona,8,1.5,public,Fifty Rd.
588610,4788645,7,41,Westcliffe Falls,,Hamilton,Cascade,A,West Chedoke,15,2,public,Beddoe Dr. / Chedoke Civic Golf Course
595897,4783744,8,48,Albion Falls,Mount Albion Falls,Hamilton,Cascade,A,Red Hill,19,18,public,Mountain Brow Blvd. / King's Forest Park
584208,4787960,9,79,Ancaster Heights Falls,,Ancaster,Cascade,B,Tiffany-Coldwater,13.4,1.8,public,Wilson St. E.
590022,4788461,10,113,Auchmar Falls,Upper Beckett Falls,Hamilton,Waterfall,C,Chedoke,12,1.5,public,Beckett Drive
595895,4783719,11,130,Baby Albion Falls,,Hamilton,Waterfall,C,Red Hill,8.5,1,public,Mountain Brow Blvd. / King's Forest Park
582612,4791933,12,14,Baby Webster's Falls,,Flamborough,Waterfall,B,Spencer-Logie's,9,3,public,Fallsview Rd. / Spencer Gorge / Webster's Falls CA
590452,4788610,13,99,Beckett Falls,Lower Beckett Falls,Hamilton,Waterfall,C,Chedoke,3,1.2,public,Beckett Drive
600197,4784566,17,53,Billy Green Falls,Battlefield Falls,Stoney Creek,Waterfall,B,Glover-Battlefield,17,6,public,Centennial Pky.
595034,4782623,18,126,Billy Monkley Cascade,,Hamilton,Cascade,C,Red Hill,3,6.4,public,Chippewa Rail Trail via Rymal Road/Billy Monkley Bird Sanctuary
589269,4788452,19,140,Blue Falls,The Blue Falls,Hamilton,Cascade,C,Chedoke,4,3,public-I,Beddoe Dr. / Chedoke Civic Golf Course
586247,4793992,20,6,Borer's Falls,Rock Chapel Falls,Flamborough,Waterfall,A,Borer's,15,5,public,Rock Chapel Rd. / Rock Chapel Sanctuary
596170,4785287,22,122,Broman Falls,Coop's Falls,Hamilton,Waterfall,C,Red Hill,7,1.1,public,Bruce Trail Escarpment Rail Trail at Mohawk Sports Park
595894,4784292,24,47,Buttermilk Falls,Inglis Falls,Hamilton,Waterfall,A,Red Hill,23,8,public,Mountain Brow Blvd. / Oak-Knoll Park
582762,4787636,25,23,Canterbury Falls,Milne Falls,Ancaster,Cascade,B,Ancaster-Sulphur,9,4,public,Old Dundas Rd.
595964,4784206,26,125,Cave Falls,,Hamilton,Waterfall,B,Red Hill,17,3,public-I,Inaccessible
600038,4784720,27,83,Centennial Falls,,Stoney Creek,Cascade,B,Glover-Battlefield,10,4,public,Centennial Pky.
589254,4788245,28,45,Chedoke Falls,,Hamilton,Waterfall,A,Chedoke,18,9,public,Beddoe Dr. / Chedoke Civic Golf Course / Scenic Dr
588214,4795596,29,100,Clappison Falls,,Flamborough,Waterfall,C,Borer's,7,3,public-I,Highway 6
588666,4788519,30,42,Cliffview Falls,,Hamilton,Cascade,A,West Chedoke,15,3,public,Beddoe Dr. / Chedoke Civic Golf Course / Scenic Dr. / Cliffview Park
580590,4792078,31,15,Darnley Cascade,"Stutt's Falls, Crooks Hollow Falls",Flamborough,Cascade,A,Spencer-Logie's,4,22,public,Crooks Hollow Rd / Darnley Mill ruins
589317,4788274,32,44,Denlow Falls,,Hamilton,Cascade,B,Chedoke,19,9,public-I,Beddoe Dr. / Chedoke Civic Golf Course
601058,4784925,33,55,Devil's Punchbowl Falls,"Horseshoe Falls, Devil's Punch Bowl",Stoney Creek,Waterfall,A,Punchbowl,37,3,public,Ridge Rd. / Devil's Punchbowl CA
604108,4784578,34,57,Dewitt Falls,,Stoney Creek,Cascade,C,Stoney Creek-Fruitland,7,2,public,Dewitt Rd.
586822,4788823,35,104,Duchess Falls,,Hamilton,Waterfall,C,Chedoke-Scenic,4,1.5,public-I,Inaccessible
588623,4788675,36,40,Lower Cliffview Falls,East Double Falls,Hamilton,Cascade,B,West Chedoke,4,3,public,Beddoe Dr. / Chedoke Civic Golf Course
596736,4784039,38,108,Lower Glendale Falls,,Hamilton,Waterfall,B,Red Hill,3.4,4,public-I,Inaccessible
586855,4794313,39,69,Lower Hopkins Cascade,,Flamborough,Cascade,C,Borer's,6,3.5,public,Valley Rd.
583971,4787986,40,78,Lower Little Falls,,Ancaster,Cascade,B,Tiffany-Coldwater,8.2,1.8,public,Wilson St. E.
583349,4787311,42,22,Lower Mill Falls,,Ancaster,Cascade,B,Ancaster-Sulphur,6,4,private,Old Dundas Rd. / Old Mill Rest.
586209,4787565,43,133,Lower Mohawk Falls,Mohawk Falls,Ancaster,Waterfall,C,Chedoke-Scenic,6,3.7,public-I,Inaccessible
586872,4788682,44,34,Lower Princess Falls,Lower Lang's Falls,Hamilton,Cascade,A,Chedoke-Scenic,39.5,3,public,Hwy 403
600954,4785019,45,54,Lower Punchbowl Falls,,Stoney Creek,Waterfall,B,Punchbowl,6,6,public,Mountain Ave.
588087,4788703,47,37,Lower Sanatorium Cascade,Lower Sanatorium Falls,Hamilton,Cascade,C,Chedoke-Mountview,4,3,public,Beddoe Dr. / Chedoke Civic Golf Course
586440,4788595,48,141,Lower Scenic Cascade,,Hamilton,Cascade,C,Chedoke-Scenic,3,1.2,public-I,Scenic Dr. / Chedoke Radial Trail Head
584525,4791765,50,10,Lower Sydenham Falls,Sydenham Ravine,Dundas,Waterfall,B,Sydenham,4,4,private,Livingstone Dr. / Cascades Park
583026,4792217,51,12,Lower Tew's Falls,Hopkin's Ravine,Flamborough,Waterfall,B,Spencer-Logie's,3.7,6.7,public-I,Fallsview Rd. / Spencer Gorge / Webster's Falls CA
