NAME,ALTERNATE_NAME,COMMUNITY,TYPE,RANKING,CLUSTER_AREA,HEIGHT_IN_M,WIDTH_IN_M,OWNERSHIP,ACCESS_FROM,TRIPADVISOR RATING,TRIPADVISOR VOTES,GOOGLE RATINGS,GOOGLE VOTES,Weighted rating,Total votes,RATING INFO
Wesley Cascade,,Dundas,Cascade,C,Borer's,4,1,public-I,Patterson Rd.,,,,,,0,NO
West Iroquoia Falls,,Hamilton,Waterfall,B,Chedoke-Scenic,19.8,1,public,Hwy 403,,,,,,0,NO
West Moss Cascade,,Flamborough,Cascade,C,Sydenham,3,1,public-I,Rock Chapel Rd. / Rock Chapel Sanctuary,,,,,,0,NO
West of Fifty Upper Cascade,,Stoney Creek,Cascade,C,Stoney Creek-Winona,8,1.5,public,Fifty Rd.,,,,,,0,NO
Westcliffe Falls,,Hamilton,Cascade,A,West Chedoke,15,2,public,Beddoe Dr. / Chedoke Civic Golf Course,,,4,37,4.00,37,YES
Albion Falls,Mount Albion Falls,Hamilton,Cascade,A,Red Hill,19,18,public,Mountain Brow Blvd. / King's Forest Park,4.1,254,4.2,4011,4.19,4265,YES
Ancaster Heights Falls,,Ancaster,Cascade,B,Tiffany-Coldwater,13.4,1.8,public,Wilson St. E.,,,,,,0,NO
Auchmar Falls,Upper Beckett Falls,Hamilton,Waterfall,C,Chedoke,12,1.5,public,Beckett Drive,,,,,,0,NO
Baby Albion Falls,,Hamilton,Waterfall,C,Red Hill,8.5,1,public,Mountain Brow Blvd. / King's Forest Park,,,,,,0,NO
Baby Webster's Falls,,Flamborough,Waterfall,B,Spencer-Logie's,9,3,public,Fallsview Rd. / Spencer Gorge / Webster's Falls CA,,,,,,0,NO
Beckett Falls,Lower Beckett Falls,Hamilton,Waterfall,C,Chedoke,3,1.2,public,Beckett Drive,,,,,,0,NO
Billy Green Falls,Battlefield Falls,Stoney Creek,Waterfall,B,Glover-Battlefield,17,6,public,Centennial Pky.,4.3,8,4.7,6,4.47,14,YES
Billy Monkley Cascade,,Hamilton,Cascade,C,Red Hill,3,6.4,public,Chippewa Rail Trail via Rymal Road/Billy Monkley Bird Sanctuary,,,4.3,61,4.30,61,YES
Blue Falls,The Blue Falls,Hamilton,Cascade,C,Chedoke,4,3,public-I,Beddoe Dr. / Chedoke Civic Golf Course,,,,,,0,NO
Borer's Falls,Rock Chapel Falls,Flamborough,Waterfall,A,Borer's,15,5,public,Rock Chapel Rd. / Rock Chapel Sanctuary,4,13,4.2,100,4.18,113,YES
Broman Falls,Coop's Falls,Hamilton,Waterfall,C,Red Hill,7,1.1,public,Bruce Trail Escarpment Rail Trail at Mohawk Sports Park,,,,,,0,NO
Buttermilk Falls,Inglis Falls,Hamilton,Waterfall,A,Red Hill,23,8,public,Mountain Brow Blvd. / Oak-Knoll Park,4.5,475,4,530,4.24,1005,YES
Canterbury Falls,Milne Falls,Ancaster,Cascade,B,Ancaster-Sulphur,9,4,public,Old Dundas Rd.,,,4.5,188,4.50,188,YES
Cave Falls,,Hamilton,Waterfall,B,Red Hill,17,3,public-I,Inaccessible,,,,,,0,NO
Centennial Falls,,Stoney Creek,Cascade,B,Glover-Battlefield,10,4,public,Centennial Pky.,,,,,,0,NO
Chedoke Falls,,Hamilton,Waterfall,A,Chedoke,18,9,public,Beddoe Dr. / Chedoke Civic Golf Course / Scenic Dr,3.8,43,4.1,693,4.08,736,YES
Clappison Falls,,Flamborough,Waterfall,C,Borer's,7,3,public-I,Highway 6,,,,,,0,NO
Cliffview Falls,,Hamilton,Cascade,A,West Chedoke,15,3,public,Beddoe Dr. / Chedoke Civic Golf Course / Scenic Dr. / Cliffview Park,4,3,3.9,31,3.91,34,YES
Darnley Cascade,"Stutt's Falls, Crooks Hollow Falls",Flamborough,Cascade,A,Spencer-Logie's,4,22,public,Crooks Hollow Rd / Darnley Mill ruins,,,4.4,10,4.40,10,YES
Denlow Falls,,Hamilton,Cascade,B,Chedoke,19,9,public-I,Beddoe Dr. / Chedoke Civic Golf Course,,,3.5,4,3.50,4,YES
Devil's Punchbowl Falls,"Horseshoe Falls, Devil's Punch Bowl",Stoney Creek,Waterfall,A,Punchbowl,37,3,public,Ridge Rd. / Devil's Punchbowl CA,3.9,273,4.1,907,4.05,1180,YES
Dewitt Falls,,Stoney Creek,Cascade,C,Stoney Creek-Fruitland,7,2,public,Dewitt Rd.,,,4,5,4.00,5,YES
Duchess Falls,,Hamilton,Waterfall,C,Chedoke-Scenic,4,1.5,public-I,Inaccessible,,,,,,0,NO
Lower Cliffview Falls,East Double Falls,Hamilton,Cascade,B,West Chedoke,4,3,public,Beddoe Dr. / Chedoke Civic Golf Course,,,,,,0,NO
Lower Glendale Falls,,Hamilton,Waterfall,B,Red Hill,3.4,4,public-I,Inaccessible,,,,,,0,NO
Lower Hopkins Cascade,,Flamborough,Cascade,C,Borer's,6,3.5,public,Valley Rd.,,,,,,0,NO
Lower Little Falls,,Ancaster,Cascade,B,Tiffany-Coldwater,8.2,1.8,public,Wilson St. E.,,,,,,0,NO
Lower Mill Falls,,Ancaster,Cascade,B,Ancaster-Sulphur,6,4,private,Old Dundas Rd. / Old Mill Rest.,,,,,,0,
Lower Mohawk Falls,Mohawk Falls,Ancaster,Waterfall,C,Chedoke-Scenic,6,3.7,public-I,Inaccessible,,,,,,0,NO
Lower Princess Falls,Lower Lang's Falls,Hamilton,Cascade,A,Chedoke-Scenic,39.5,3,public,Hwy 403,,,,,,0,NO
Lower Punchbowl Falls,,Stoney Creek,Waterfall,B,Punchbowl,6,6,public,Mountain Ave.,,,,,,0,NO
Lower Sanatorium Cascade,Lower Sanatorium Falls,Hamilton,Cascade,C,Chedoke-Mountview,4,3,public,Beddoe Dr. / Chedoke Civic Golf Course,,,,,,0,NO
Lower Scenic Cascade,,Hamilton,Cascade,C,Chedoke-Scenic,3,1.2,public-I,Scenic Dr. / Chedoke Radial Trail Head,,,,,,0,NO
Lower Sydenham Falls,Sydenham Ravine,Dundas,Waterfall,B,Sydenham,4,4,private,Livingstone Dr. / Cascades Park,,,,,,0,
Lower Tew's Falls,Hopkin's Ravine,Flamborough,Waterfall,B,Spencer-Logie's,3.7,6.7,public-I,Fallsview Rd. / Spencer Gorge / Webster's Falls CA,,,,,,0,NO
Lower Westcliffe Falls,West Double Falls,Hamilton,Cascade,B,West Chedoke,9,6,public,Beddoe Dr. / Chedoke Civic Golf Course,,,,,,0,NO
